,date,take_out,company,restaurant,id,created_at
0,2021-01-01,72.26843681267607,Los Tacos,Oslo City,cfc92c84-0aaa-468a-89a1-7b2c1baad4e4,2024-03-27 16:24:52
1,2021-01-02,42.29196827437207,Los Tacos,Oslo City,86bdef60-9906-4489-9608-b5eb0776b6ea,2024-03-27 16:24:52
2,2021-01-03,33.028991545616556,Los Tacos,Oslo City,966efc7d-8002-42d7-8707-b40a24558103,2024-03-27 16:24:52
3,2021-01-04,51.81679427511345,Los Tacos,Oslo City,02a1fd68-eb4e-4c21-a3f8-fd07dd7f3592,2024-03-27 16:24:52
4,2021-01-05,51.65793163732313,Los Tacos,Oslo City,918874f5-9f4a-4694-ad45-c1c22aab325e,2024-03-27 16:24:52
5,2021-01-06,46.29613913961572,Los Tacos,Oslo City,2f7d0797-d5f4-4065-81bc-68d95767588c,2024-03-27 16:24:52
6,2021-01-07,46.35817406482991,Los Tacos,Oslo City,77846365-f8ff-4234-8b20-5d1b126bb5d1,2024-03-27 16:24:52
7,2021-01-08,44.78591193426616,Los Tacos,Oslo City,291a0a1c-5208-414d-8217-c262167f58b8,2024-03-27 16:24:52
8,2021-01-09,37.94160138122203,Los Tacos,Oslo City,156695f3-28cc-4958-9a5a-656c5327767c,2024-03-27 16:24:52
9,2021-01-10,28.969002591839093,Los Tacos,Oslo City,a166b266-a096-46e3-a193-d61426d32350,2024-03-27 16:24:52
10,2021-01-11,48.09935062439194,Los Tacos,Oslo City,76456e38-436a-4d4a-86da-4db37e670e2c,2024-03-27 16:24:52
11,2021-01-12,71.22798234972592,Los Tacos,Oslo City,3384feba-741c-435b-8b0e-9c3d40a622e8,2024-03-27 16:24:52
12,2021-01-13,66.29132405122964,Los Tacos,Oslo City,07344c0d-b94c-4e79-88bc-d424e1bec673,2024-03-27 16:24:52
13,2021-01-14,66.80713346301758,Los Tacos,Oslo City,92ebf394-bf83-4847-93f0-158267dfa5f6,2024-03-27 16:24:52
14,2021-01-15,65.70801726548886,Los Tacos,Oslo City,90b92f7c-3c6e-4c75-9443-55d1e1b0c64f,2024-03-27 16:24:52
15,2021-01-16,59.346621496333,Los Tacos,Oslo City,e0205fde-5d57-43cc-b631-b887567b9bdd,2024-03-27 16:24:52
16,2021-01-17,50.857013701757204,Los Tacos,Oslo City,328fe821-aa58-47b3-86eb-1e2021d68012,2024-03-27 16:24:52
17,2021-01-18,70.46089157733573,Los Tacos,Oslo City,47f89274-d55a-4574-ad80-f0aea0e08657,2024-03-27 16:24:52
18,2021-01-19,71.1447502340986,Los Tacos,Oslo City,38a5601a-df42-41b5-bec3-6c099014b941,2024-03-27 16:24:52
19,2021-01-20,66.63589865607454,Los Tacos,Oslo City,a0371c41-d998-4f89-bb61-c97aa299560f,2024-03-27 16:24:52
20,2021-01-21,67.5447129705109,Los Tacos,Oslo City,dfe41f22-c4f9-4aef-b48a-3eafcea340a7,2024-03-27 16:24:52
